bookID,authors
828,Neal Stephenson/George F. Jewsbury/Stephen  Bury
829,Neal Stephenson
830,Neal Stephenson/Guy Abadia
834,Dan Harrington/Bill Robertie
835,Dan Harrington/Bill Robertie
840,Donald A. Norman
841,Donald A. Norman
842,Donald A. Norman
848,Alex C. Jones/Diane M. Hanson/Stephen K. Ray
864,Paulo Coelho/Alan R. Clarke/James Noel Smith
865,Paulo Coelho/Alan R. Clarke/Özdemir İnce
866,Hiromu Arakawa/Akira Watanabe
868,Hiromu Arakawa/Akira Watanabe
869,Hiromu Arakawa/Akira Watanabe
870,Hiromu Arakawa/Akira Watanabe
871,Hiromu Arakawa/Akira Watanabe
872,Paulo Coelho/Alan R. Clarke/Mœbius
873,Hiromu Arakawa/Akira Watanabe
880,Robert   Harris
888,Edward Bulwer-Lytton/John Gregory Betancourt
890,John Steinbeck
900,Neil Strauss
902,Ellen Raskin
903,Zilpha Keatley Snyder
929,Arthur Golden
930,Arthur Golden
931,Arthur Golden
932,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden
933,Arthur Golden
935,Mineko Iwasaki/Rande Brown
941,J. Torres/Eric  Kim
944,Margaret Johnson/Philip Prowse
955,Gary Chapman
960,Dan Brown
965,Dan Brown
966,Dan Brown/Raúl Amundaray
968,Dan Brown
969,Dan Brown
972,Dan Brown/Daniel Roche
975,Dan Brown
977,Dan Brown
980,Dan Brown
987,P.J. Parrish
998,Thomas J. Stanley/William D. Danko
1005,Napoleon Hill
1007,Napoleon Hill
1014,Mike   Mason
1022,Riki Anne Wilchins
1032,Donald J. Trump/Tony Schwartz
1052,George S. Clason
1053,George S. Clason
1059,Trevanian/Gisela Stege
1067,David McCullough
1068,Peter  Stone/Sherman Edwards
1073,Robert J. Allison
1078,Pearl S. Buck
1090,Rick Warren
1097,Eric Schlosser
1099,Eric Schlosser
1103,Lisa See
1110,John Grisham
1111,Robert A. Caro
1117,Stephen W. Frey
1120,Bill Phillips/Michael D'Orso
1121,Pamela Peeke/Cindy Crawford
1123,Bill Phillips
1130,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher
1138,Robert P. Miles/Tom Osborne
1164,Marvin N. Olasky/John R. Perry
1167,Barbara Park/Denise Brunkus
1169,Sarah Mlynowski
1171,Michael   Lewis
1177,Frank McConnell
1188,Ursula Ferrigno/Jason Lowe/Maxine  Clark
1191,Giada De Laurentiis/Victoria Pearson
1192,Giada De Laurentiis
1193,Giada De Laurentiis/Victoria Pearson
1196,Tyler Florence/Petrina Tinslay
1197,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay
1198,Tyler Florence/Petrina Tinslay
1202,Steven D. Levitt/Stephen J. Dubner
1204,Steven D. Levitt/Stephen J. Dubner
1206,Steven D. Levitt/Stephen J. Dubner
1218,Barry Eisler
1226,Yann Martel
1230,Yann Martel/Nicole Martel/Emile Martel
1234,Robert Templer
1241,James Frey
1242,Python Bonkers
1243,James Pinocchio/Pablo Fenjves
1246,James M. Kouzes/Barry Z. Posner
1252,Donald T. Phillips
1255,Gary Yukl
1265,Rudolph W. Giuliani
1274,John Gray
1276,John Gray
1281,John Gray
1290,Ron  Louis/David Copeland
1295,Jean M. Auel
1296,Jean M. Auel
1301,Michael   Lewis
1302,Doug Walsh
1303,Robert Greene/Joost Elffers
1305,Steven Pressfield
1307,Margaret Weis/Tracy Hickman
1312,Thomas Harlan
1315,Steven Pressfield
1317,Steven Pressfield
1318,Steven Pressfield
1319,Steven Pressfield/Robert McKee
1320,Stephen J. Rosen/Steven Pressfield
1322,David J. Danelo/Steven Pressfield
1326,Plato/Walter Hamilton
1327,Plato/Robin Waterfield
1328,Plato/C.J. Rowe
1334,Plato/Benjamin Jowett
1337,Josef Pieper/Richard Winston/Clara Winston
1338,Plato/C.D.C. Reeve
1342,Plato/James H. Nichols Jr.
1351,Plato/C.J. Rowe
1354,Plato/Walter Hamilton/Chris Emlyn-Jones
1362,Herodotus/Aubrey de Sélincourt/John M. Marincola
1363,Herodotus/Aubrey de Sélincourt/John M. Marincola
1364,Herodotus/Henry Francis Cary
1365,Herodotus/Carolyn Dewald/Robin Waterfield
1366,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn
1367,Herodotus/Jennifer Tolbert Roberts/Walter Blanco
1368,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas
1369,Herodotus/Peter Grene
