bookID,authors
1193,Giada De LaurentiisVictoria Pearson
1196,Tyler FlorencePetrina Tinslay
1197,Tyler FlorenceJoAnn CianciulliBill BettencourtBobby Flay
1198,Tyler FlorencePetrina Tinslay
1202,Steven D LevittStephen J Dubner
1204,Steven D LevittStephen J Dubner
1206,Steven D LevittStephen J Dubner
1218,Barry Eisler
1226,Yann Martel
1230,Yann MartelNicole MartelEmile Martel
1234,Robert Templer
1241,James Frey
1242,Python Bonkers
1243,James PinocchioPablo Fenjves
1246,James M KouzesBarry Z Posner
1252,Donald T Phillips
1255,Gary Yukl
1265,Rudolph W Giuliani
1274,John Gray
1276,John Gray
1281,John Gray
1290,Ron  LouisDavid Copeland
1295,Jean M Auel
1296,Jean M Auel
1301,Michael   Lewis
1302,Doug Walsh
1303,Robert GreeneJoost Elffers
1305,Steven Pressfield
1307,Margaret WeisTracy Hickman
1312,Thomas Harlan
1315,Steven Pressfield
1317,Steven Pressfield
1318,Steven Pressfield
1319,Steven PressfieldRobert McKee
1320,Stephen J RosenSteven Pressfield
1322,David J DaneloSteven Pressfield
1326,PlatoWalter Hamilton
1327,PlatoRobin Waterfield
1328,PlatoCJ Rowe
1334,PlatoBenjamin Jowett
1337,Josef PieperRichard WinstonClara Winston
1338,PlatoCDC Reeve
1342,PlatoJames H Nichols Jr
1351,PlatoCJ Rowe
1354,PlatoWalter HamiltonChris EmlynJones
1362,HerodotusAubrey de SlincourtJohn M Marincola
1363,HerodotusAubrey de SlincourtJohn M Marincola
1364,HerodotusHenry Francis Cary
1365,HerodotusCarolyn DewaldRobin Waterfield
1366,HerodotusAubrey de SlincourtAndrew Robert Burn
1367,HerodotusJennifer Tolbert RobertsWalter Blanco
1368,HerodotusEdward Henry BlakeneyGeorge RawlinsonRosalind Thomas
1369,HerodotusPeter Grene
1371,HomerRobert FaglesBernard Knox
1373,HomerStanley LombardoSheila Murnaghan
1374,HomerRobert FitzgeraldAndrew Ford
1375,HomerRobert FaglesBernard Knox
1376,HomerEV RieuPeter JonesDCH Rieu
1377,HomerWHD Rouse
1378,HomerSheila MurnaghanStanley Lombardo
1381,HomerRobert FaglesBernard Knox
